name,email,phone,age,gender,departuredate,returndate,td
Sameer,sameer@gmail.com,9890392568,22,male,2023-05-11T00:11,2023-06-11T00:11,Pune
Ravi,ravi@gmail.com,9890393765,22,male,2023-05-16T00:11,2023-06-11T00:11,Mumbai
Raj,RAJ@gmail.com,2352423562,52,male,2023-05-27T00:13,2023-06-03T00:13,Chennai
sam,sam@gmail.com,2352423562,52,male,2023-05-27T00:13,2023-06-03T00:13,Delhi
sunny,sunny@gmail.com,2352423563,52,male,2023-05-27T00:13,2023-06-03T00:13,Mumbai
tinna,tinna@gmail.com,2352423563,52,female,2023-05-27T00:13,2023-06-03T00:13,Delhi
sinu,sinu@gmail.com,9890392764,22,male,2023-05-11T13:17,2023-06-02T13:18,Shimla
chinny,chinny@gmail.com,9890392761,22,female,2023-05-11T13:17,2023-06-02T13:18,Bhopal
jinky,jinky@gmail.com,9890392762,21,female,2023-05-11T13:17,2023-06-02T13:18,Hyderabad
niki,niki@gmail.com,9890392763,21,female,2023-05-11T13:17,2023-06-02T13:18,Jaipur
pranjal,pranjal@gmail.com,9890392762,21,female,2023-05-11T13:17,2023-06-02T13:18,Rajkot
julekha,julekha@gmail.com,9890392762,21,female,2023-05-11T13:17,2023-06-02T13:18,Agartala
rinta,rita@gmail.com,9890392763,21,female,2023-05-11T13:17,2023-06-02T13:18,Agartala
pinky,pinky@gmail.com,9890392763,21,female,2023-05-11T13:17,2023-06-02T13:18,Ajmer
chanchal,chanchal@gmail.com,9890392763,21,female,2023-05-12T13:17,2023-06-23T13:18,Vanarasi
Kajol,kajol@gmail.com,123456789,46,female,2023-06-01T13:24,2023-06-09T13:24,Raipur
Pranjal,pranjal@34gmail.com,678901234,22,female,2023-05-17T13:26,2023-05-25T13:26,Jamshedpur
Tanaya,tanu@gmail.com,1234567890,34,female,2023-05-24T13:27,2023-06-17T13:27,Agra
Neil,neil@123gmail.com,4567890123,34,male,2023-05-24T13:29,2023-06-08T13:29,Amritsar
Neha,neha@123gmail.com,4.56789E+11,78,female,2023-05-15T13:29,2023-07-08T13:29,Asansol
Nisha,nishha@123gmail.com,1234567890,56,female,2023-05-18T13:29,2023-07-14T13:29,Meerut
Meera,meera@12gmail.com,567483210,27,female,2023-05-19T13:33,2023-06-23T13:33,Gwalior
,,,,,,,
"Julekha Bagwan",abc@gmail.com,01243567890,21,female,2023-05-19T20:14,2023-06-10T20:14,Vanarasi
